id,label,image
39682,cat,39682.png
26905,cat,26905.png
22172,cat,22172.png
12441,cat,12441.png
34636,dog,34636.png
7774,dog,7774.png
7939,dog,7939.png
47965,dog,47965.png
48538,dog,48538.png
4356,dog,4356.png
12450,cat,12450.png
45883,dog,45883.png
22506,cat,22506.png
37400,cat,37400.png
33919,dog,33919.png
48968,dog,48968.png
1866,dog,1866.png
945,dog,945.png
9666,dog,9666.png
26736,dog,26736.png
18132,dog,18132.png
31500,cat,31500.png
24814,dog,24814.png
36555,cat,36555.png
28670,cat,28670.png
22072,cat,22072.png
12708,cat,12708.png
45820,dog,45820.png
22923,cat,22923.png
49580,dog,49580.png
23982,dog,23982.png
23950,dog,23950.png
48908,cat,48908.png
36654,dog,36654.png
3288,cat,3288.png
5176,dog,5176.png
38776,dog,38776.png
340,dog,340.png
47224,dog,47224.png
45929,cat,45929.png
44457,cat,44457.png
11981,dog,11981.png
11492,dog,11492.png
43842,cat,43842.png
1003,cat,1003.png
23696,cat,23696.png
17826,dog,17826.png
16527,cat,16527.png
49774,cat,49774.png
20068,cat,20068.png
43846,cat,43846.png
27360,dog,27360.png
48145,cat,48145.png
27904,dog,27904.png
6597,cat,6597.png
9406,cat,9406.png
49827,dog,49827.png
18479,dog,18479.png
7727,dog,7727.png
48815,cat,48815.png
19313,cat,19313.png
17620,dog,17620.png
43308,dog,43308.png
32232,dog,32232.png
32531,dog,32531.png
36140,dog,36140.png
17632,cat,17632.png
33876,dog,33876.png
5414,dog,5414.png
9346,cat,9346.png
47486,dog,47486.png
41114,dog,41114.png
42504,dog,42504.png
22843,cat,22843.png
34222,dog,34222.png
29805,dog,29805.png
39664,dog,39664.png
13074,dog,13074.png
39559,dog,39559.png
31627,cat,31627.png
13122,dog,13122.png
29201,cat,29201.png
28030,cat,28030.png
35640,dog,35640.png
7534,cat,7534.png
41952,cat,41952.png
27827,cat,27827.png
6325,cat,6325.png
4389,cat,4389.png
15384,cat,15384.png
2175,cat,2175.png
26155,cat,26155.png
1835,cat,1835.png
49191,cat,49191.png
12777,cat,12777.png
46607,dog,46607.png
14708,dog,14708.png
49317,dog,49317.png
40585,cat,40585.png
22226,dog,22226.png
19728,cat,19728.png
46156,cat,46156.png
18732,dog,18732.png
45679,dog,45679.png
32390,cat,32390.png
4856,cat,4856.png
22136,cat,22136.png
39645,cat,39645.png
27153,cat,27153.png
29002,cat,29002.png
49302,dog,49302.png
19202,dog,19202.png
27634,dog,27634.png
48396,dog,48396.png
26011,dog,26011.png
25826,cat,25826.png
49542,dog,49542.png
16934,dog,16934.png
11275,dog,11275.png
25752,dog,25752.png
13605,dog,13605.png
16742,dog,16742.png
11206,cat,11206.png
38448,dog,38448.png
45987,dog,45987.png
43367,dog,43367.png
42579,dog,42579.png
35233,dog,35233.png
38254,dog,38254.png
6497,cat,6497.png
39101,cat,39101.png
5647,dog,5647.png
815,dog,815.png
25325,cat,25325.png
41103,cat,41103.png
6483,cat,6483.png
46036,dog,46036.png
20175,cat,20175.png
40003,dog,40003.png
38881,cat,38881.png
14033,cat,14033.png
20346,cat,20346.png
11765,cat,11765.png
19069,cat,19069.png
18090,cat,18090.png
13866,dog,13866.png
5278,cat,5278.png
32882,cat,32882.png
5916,cat,5916.png
44269,dog,44269.png
45283,cat,45283.png
48427,cat,48427.png
1539,dog,1539.png
46691,dog,46691.png
44927,cat,44927.png
4313,dog,4313.png
38060,dog,38060.png
16015,cat,16015.png
16210,cat,16210.png
43457,cat,43457.png
3618,cat,3618.png
39043,dog,39043.png
20327,cat,20327.png
9969,cat,9969.png
3430,cat,3430.png
25895,dog,25895.png
20302,cat,20302.png
36568,cat,36568.png
33247,dog,33247.png
30091,dog,30091.png
24136,cat,24136.png
39074,cat,39074.png
42646,dog,42646.png
7947,cat,7947.png
21859,dog,21859.png
16362,dog,16362.png
28448,cat,28448.png
44397,dog,44397.png
28264,dog,28264.png
49891,dog,49891.png
18815,cat,18815.png
45732,dog,45732.png
48786,dog,48786.png
28173,dog,28173.png
36127,dog,36127.png
13999,dog,13999.png
32805,dog,32805.png
17377,dog,17377.png
24107,cat,24107.png
15800,cat,15800.png
39904,cat,39904.png
3808,cat,3808.png
34650,cat,34650.png
41994,cat,41994.png
43348,dog,43348.png
34217,dog,34217.png
14942,cat,14942.png
32608,cat,32608.png
2718,dog,2718.png
35770,cat,35770.png
22518,cat,22518.png
27609,cat,27609.png
18583,cat,18583.png
37118,cat,37118.png
31818,dog,31818.png
6168,cat,6168.png
48537,cat,48537.png
40055,cat,40055.png
32951,dog,32951.png
26184,cat,26184.png
4464,dog,4464.png
2522,cat,2522.png
38583,dog,38583.png
1062,dog,1062.png
47740,dog,47740.png
8041,dog,8041.png
3082,cat,3082.png
8382,cat,8382.png
24288,dog,24288.png
20821,cat,20821.png
34493,cat,34493.png
27723,cat,27723.png
1806,dog,1806.png
4147,cat,4147.png
23019,cat,23019.png
32076,cat,32076.png
10996,dog,10996.png
20930,cat,20930.png
24552,cat,24552.png
10898,dog,10898.png
37301,cat,37301.png
29713,dog,29713.png
7840,cat,7840.png
14161,dog,14161.png
23043,dog,23043.png
6768,cat,6768.png
21856,dog,21856.png
7668,cat,7668.png
14016,dog,14016.png
46709,dog,46709.png
39646,dog,39646.png
41319,dog,41319.png
39317,dog,39317.png
21401,cat,21401.png
43054,dog,43054.png
15075,dog,15075.png
36049,dog,36049.png
1281,dog,1281.png
4244,cat,4244.png
30984,cat,30984.png
23091,dog,23091.png
22454,cat,22454.png
3101,cat,3101.png
15981,dog,15981.png
46689,cat,46689.png
12830,dog,12830.png
11495,dog,11495.png
26614,cat,26614.png
42397,dog,42397.png
20033,cat,20033.png
10319,dog,10319.png
24263,cat,24263.png
33307,dog,33307.png
298,dog,298.png
41407,dog,41407.png
43124,cat,43124.png
19800,cat,19800.png
13594,cat,13594.png
10428,cat,10428.png
6798,dog,6798.png
49650,dog,49650.png
44453,dog,44453.png
11862,dog,11862.png
46920,cat,46920.png
16647,cat,16647.png
47953,dog,47953.png
19873,cat,19873.png
6209,cat,6209.png
6038,dog,6038.png
7470,cat,7470.png
12034,cat,12034.png
47903,cat,47903.png
23948,dog,23948.png
5446,cat,5446.png
29256,cat,29256.png
25078,cat,25078.png
38145,dog,38145.png
20923,dog,20923.png
45500,dog,45500.png
29062,dog,29062.png
7108,cat,7108.png
24612,cat,24612.png
15859,cat,15859.png
46533,dog,46533.png
47193,dog,47193.png
5400,dog,5400.png
47030,dog,47030.png
32432,dog,32432.png
34740,dog,34740.png
3487,cat,3487.png
31066,cat,31066.png
40008,cat,40008.png
23886,cat,23886.png
27139,cat,27139.png
38098,cat,38098.png
36088,cat,36088.png
13298,cat,13298.png
12282,dog,12282.png
28613,dog,28613.png
17709,dog,17709.png
29937,cat,29937.png
10725,dog,10725.png
31611,cat,31611.png
27224,dog,27224.png
38430,cat,38430.png
26929,cat,26929.png
40784,dog,40784.png
38892,cat,38892.png
11406,dog,11406.png
10485,dog,10485.png
39125,dog,39125.png
32239,dog,32239.png
41373,cat,41373.png
27599,dog,27599.png
23590,cat,23590.png
9136,cat,9136.png
46516,cat,46516.png
15765,dog,15765.png
19450,cat,19450.png
29323,cat,29323.png
25708,dog,25708.png
48731,dog,48731.png
16605,cat,16605.png
2169,cat,2169.png
2807,dog,2807.png
47839,cat,47839.png
8270,dog,8270.png
16409,dog,16409.png
44915,dog,44915.png
2946,dog,2946.png
22849,dog,22849.png
46919,dog,46919.png
30773,cat,30773.png
23585,cat,23585.png
15988,dog,15988.png
21528,cat,21528.png
30736,dog,30736.png
