id,label,image
1,frog,1.png
2,truck,2.png
3,truck,3.png
4,deer,4.png
5,automobile,5.png
6,automobile,6.png
7,bird,7.png
8,horse,8.png
9,ship,9.png
10,cat,10.png
11,deer,11.png
12,horse,12.png
13,horse,13.png
14,bird,14.png
15,truck,15.png
16,truck,16.png
17,truck,17.png
18,cat,18.png
19,bird,19.png
20,frog,20.png
21,deer,21.png
22,cat,22.png
23,frog,23.png
24,frog,24.png
25,bird,25.png
26,frog,26.png
27,cat,27.png
28,dog,28.png
29,deer,29.png
30,airplane,30.png
31,airplane,31.png
32,truck,32.png
33,automobile,33.png
34,cat,34.png
35,deer,35.png
36,airplane,36.png
37,cat,37.png
38,horse,38.png
39,cat,39.png
40,cat,40.png
41,dog,41.png
42,bird,42.png
43,bird,43.png
44,horse,44.png
45,automobile,45.png
46,automobile,46.png
47,automobile,47.png
48,bird,48.png
49,bird,49.png
50,airplane,50.png
51,truck,51.png
52,dog,52.png
53,horse,53.png
54,truck,54.png
55,bird,55.png
56,bird,56.png
57,dog,57.png
58,bird,58.png
59,deer,59.png
60,cat,60.png
61,automobile,61.png
62,automobile,62.png
63,ship,63.png
64,bird,64.png
65,automobile,65.png
66,automobile,66.png
67,deer,67.png
68,truck,68.png
69,horse,69.png
70,ship,70.png
71,dog,71.png
72,truck,72.png
73,frog,73.png
74,horse,74.png
75,cat,75.png
76,automobile,76.png
77,truck,77.png
78,airplane,78.png
79,cat,79.png
80,automobile,80.png
81,cat,81.png
82,dog,82.png
83,deer,83.png
84,dog,84.png
85,horse,85.png
86,horse,86.png
87,deer,87.png
88,horse,88.png
89,truck,89.png
90,deer,90.png
91,bird,91.png
92,cat,92.png
93,ship,93.png
94,airplane,94.png
95,automobile,95.png
96,frog,96.png
97,automobile,97.png
98,automobile,98.png
99,deer,99.png
100,automobile,100.png
101,ship,101.png
102,cat,102.png
103,truck,103.png
104,frog,104.png
105,frog,105.png
106,automobile,106.png
107,ship,107.png
108,dog,108.png
109,bird,109.png
110,truck,110.png
111,truck,111.png
112,ship,112.png
113,automobile,113.png
114,horse,114.png
115,horse,115.png
116,airplane,116.png
117,airplane,117.png
118,frog,118.png
119,truck,119.png
120,automobile,120.png
121,bird,121.png
122,bird,122.png
123,truck,123.png
124,bird,124.png
125,frog,125.png
126,frog,126.png
127,automobile,127.png
128,truck,128.png
129,dog,129.png
130,airplane,130.png
131,deer,131.png
132,horse,132.png
133,frog,133.png
134,horse,134.png
135,automobile,135.png
136,ship,136.png
137,automobile,137.png
138,automobile,138.png
139,bird,139.png
140,ship,140.png
141,automobile,141.png
142,cat,142.png
143,cat,143.png
144,frog,144.png
145,bird,145.png
146,deer,146.png
147,truck,147.png
148,truck,148.png
149,dog,149.png
150,deer,150.png
151,cat,151.png
152,frog,152.png
153,horse,153.png
154,deer,154.png
155,frog,155.png
156,ship,156.png
157,dog,157.png
158,dog,158.png
159,deer,159.png
160,cat,160.png
161,automobile,161.png
162,ship,162.png
163,deer,163.png
164,horse,164.png
165,frog,165.png
166,airplane,166.png
167,truck,167.png
168,dog,168.png
169,automobile,169.png
170,cat,170.png
171,ship,171.png
172,bird,172.png
173,horse,173.png
174,dog,174.png
175,cat,175.png
176,deer,176.png
177,automobile,177.png
178,dog,178.png
179,horse,179.png
180,airplane,180.png
181,deer,181.png
182,horse,182.png
183,dog,183.png
184,dog,184.png
185,automobile,185.png
186,airplane,186.png
187,truck,187.png
188,frog,188.png
189,truck,189.png
190,airplane,190.png
191,ship,191.png
192,horse,192.png
193,ship,193.png
194,ship,194.png
195,bird,195.png
196,dog,196.png
197,bird,197.png
198,cat,198.png
199,dog,199.png
200,airplane,200.png
201,frog,201.png
202,automobile,202.png
203,truck,203.png
204,cat,204.png
205,frog,205.png
206,truck,206.png
207,automobile,207.png
208,cat,208.png
209,truck,209.png
210,frog,210.png
211,frog,211.png
212,horse,212.png
213,automobile,213.png
214,airplane,214.png
215,truck,215.png
216,dog,216.png
217,ship,217.png
218,dog,218.png
219,bird,219.png
220,truck,220.png
221,airplane,221.png
222,ship,222.png
223,ship,223.png
224,airplane,224.png
225,frog,225.png
226,truck,226.png
227,automobile,227.png
228,automobile,228.png
229,frog,229.png
230,cat,230.png
231,horse,231.png
232,frog,232.png
233,frog,233.png
234,airplane,234.png
235,frog,235.png
236,frog,236.png
237,automobile,237.png
238,horse,238.png
239,automobile,239.png
240,dog,240.png
241,ship,241.png
242,cat,242.png
243,frog,243.png
244,frog,244.png
245,ship,245.png
246,frog,246.png
247,ship,247.png
248,deer,248.png
249,frog,249.png
250,frog,250.png
251,automobile,251.png
252,cat,252.png
253,ship,253.png
254,cat,254.png
255,deer,255.png
256,automobile,256.png
257,horse,257.png
258,automobile,258.png
259,cat,259.png
260,ship,260.png
261,dog,261.png
262,automobile,262.png
263,automobile,263.png
264,deer,264.png
265,airplane,265.png
266,truck,266.png
267,cat,267.png
268,horse,268.png
269,deer,269.png
270,truck,270.png
271,truck,271.png
272,bird,272.png
273,deer,273.png
274,truck,274.png
275,truck,275.png
276,automobile,276.png
277,airplane,277.png
278,dog,278.png
279,truck,279.png
280,airplane,280.png
281,ship,281.png
282,bird,282.png
283,automobile,283.png
284,bird,284.png
285,airplane,285.png
286,dog,286.png
287,frog,287.png
288,cat,288.png
289,bird,289.png
290,horse,290.png
291,ship,291.png
292,ship,292.png
293,frog,293.png
294,airplane,294.png
295,horse,295.png
296,truck,296.png
297,deer,297.png
298,dog,298.png
299,frog,299.png
300,deer,300.png
301,bird,301.png
302,automobile,302.png
303,automobile,303.png
304,bird,304.png
305,automobile,305.png
306,dog,306.png
307,truck,307.png
308,truck,308.png
309,airplane,309.png
310,ship,310.png
311,deer,311.png
312,automobile,312.png
313,automobile,313.png
314,frog,314.png
315,cat,315.png
316,cat,316.png
317,truck,317.png
318,airplane,318.png
319,horse,319.png
320,truck,320.png
321,horse,321.png
322,horse,322.png
323,truck,323.png
324,automobile,324.png
325,dog,325.png
326,automobile,326.png
327,frog,327.png
328,frog,328.png
329,ship,329.png
330,horse,330.png
331,automobile,331.png
332,cat,332.png
333,airplane,333.png
334,cat,334.png
335,cat,335.png
336,bird,336.png
337,deer,337.png
338,dog,338.png
339,horse,339.png
340,dog,340.png
341,truck,341.png
342,airplane,342.png
343,cat,343.png
344,deer,344.png
345,airplane,345.png
346,deer,346.png
347,deer,347.png
348,frog,348.png
349,airplane,349.png
350,airplane,350.png
351,frog,351.png
352,frog,352.png
353,airplane,353.png
354,ship,354.png
355,automobile,355.png
356,frog,356.png
357,bird,357.png
358,truck,358.png
359,bird,359.png
360,dog,360.png
361,truck,361.png
362,frog,362.png
363,horse,363.png
364,deer,364.png
365,automobile,365.png
366,ship,366.png
367,horse,367.png
368,cat,368.png
369,frog,369.png
370,truck,370.png
371,cat,371.png
372,airplane,372.png
373,deer,373.png
374,airplane,374.png
375,dog,375.png
376,automobile,376.png
377,airplane,377.png
378,cat,378.png
379,deer,379.png
380,ship,380.png
381,dog,381.png
382,deer,382.png
383,horse,383.png
384,bird,384.png
385,cat,385.png
386,truck,386.png
387,horse,387.png
388,frog,388.png
389,horse,389.png
390,automobile,390.png
391,deer,391.png
392,horse,392.png
