id,label,image
3283,dog,3283.png
18680,cat,18680.png
22891,dog,22891.png
38653,cat,38653.png
37358,cat,37358.png
30135,dog,30135.png
33953,cat,33953.png
6724,dog,6724.png
40858,dog,40858.png
39217,dog,39217.png
25924,cat,25924.png
44230,dog,44230.png
47359,dog,47359.png
23377,cat,23377.png
18443,cat,18443.png
35314,cat,35314.png
42383,cat,42383.png
41674,cat,41674.png
37485,dog,37485.png
8800,dog,8800.png
22856,cat,22856.png
41307,cat,41307.png
2093,cat,2093.png
4429,cat,4429.png
43386,cat,43386.png
14172,cat,14172.png
8809,cat,8809.png
2782,cat,2782.png
22240,cat,22240.png
26030,cat,26030.png
12054,dog,12054.png
29305,dog,29305.png
4658,cat,4658.png
49186,dog,49186.png
31147,cat,31147.png
48480,cat,48480.png
33636,cat,33636.png
18609,dog,18609.png
13823,cat,13823.png
37311,dog,37311.png
14109,cat,14109.png
34493,cat,34493.png
36541,dog,36541.png
30047,dog,30047.png
25016,dog,25016.png
11325,cat,11325.png
31560,dog,31560.png
815,dog,815.png
16647,cat,16647.png
47414,cat,47414.png
2697,cat,2697.png
28603,dog,28603.png
49763,cat,49763.png
20648,dog,20648.png
5579,cat,5579.png
46059,cat,46059.png
5781,dog,5781.png
2877,cat,2877.png
42671,cat,42671.png
20983,dog,20983.png
28357,cat,28357.png
7308,cat,7308.png
23495,dog,23495.png
40447,cat,40447.png
14930,dog,14930.png
31441,cat,31441.png
25054,dog,25054.png
40248,dog,40248.png
36218,dog,36218.png
11923,dog,11923.png
30785,cat,30785.png
25074,cat,25074.png
4746,cat,4746.png
32525,cat,32525.png
44085,cat,44085.png
34739,dog,34739.png
18060,dog,18060.png
4423,cat,4423.png
31648,dog,31648.png
30480,cat,30480.png
43059,dog,43059.png
45668,cat,45668.png
3759,cat,3759.png
45250,cat,45250.png
43563,cat,43563.png
45459,cat,45459.png
22022,dog,22022.png
26483,cat,26483.png
17898,cat,17898.png
2987,cat,2987.png
43316,dog,43316.png
11806,cat,11806.png
16375,dog,16375.png
7502,cat,7502.png
13991,dog,13991.png
8327,dog,8327.png
24519,cat,24519.png
38119,dog,38119.png
16281,dog,16281.png
34650,cat,34650.png
9988,dog,9988.png
2851,dog,2851.png
21770,cat,21770.png
608,dog,608.png
49475,dog,49475.png
19222,cat,19222.png
45470,dog,45470.png
6531,dog,6531.png
5566,dog,5566.png
5494,cat,5494.png
12553,cat,12553.png
48194,dog,48194.png
34659,cat,34659.png
9928,cat,9928.png
34100,cat,34100.png
31146,dog,31146.png
12518,cat,12518.png
32825,dog,32825.png
17662,cat,17662.png
42213,dog,42213.png
30202,dog,30202.png
16237,dog,16237.png
6218,cat,6218.png
43296,cat,43296.png
37118,cat,37118.png
46924,cat,46924.png
40367,dog,40367.png
23317,dog,23317.png
31978,dog,31978.png
5701,dog,5701.png
2065,dog,2065.png
9565,cat,9565.png
6254,dog,6254.png
46848,dog,46848.png
27659,cat,27659.png
17382,cat,17382.png
42178,dog,42178.png
32181,cat,32181.png
29023,dog,29023.png
49323,cat,49323.png
30055,dog,30055.png
49846,dog,49846.png
18120,cat,18120.png
3202,cat,3202.png
46424,cat,46424.png
46218,dog,46218.png
43614,dog,43614.png
32795,cat,32795.png
2335,dog,2335.png
5136,dog,5136.png
343,cat,343.png
42177,cat,42177.png
29398,cat,29398.png
34043,cat,34043.png
45207,dog,45207.png
9532,dog,9532.png
5752,dog,5752.png
4068,dog,4068.png
17355,dog,17355.png
9101,cat,9101.png
6581,dog,6581.png
25433,dog,25433.png
9434,dog,9434.png
19826,dog,19826.png
20340,cat,20340.png
15389,cat,15389.png
3168,dog,3168.png
34244,cat,34244.png
29433,dog,29433.png
32890,dog,32890.png
31186,dog,31186.png
16132,cat,16132.png
45633,cat,45633.png
30387,cat,30387.png
21319,dog,21319.png
49928,dog,49928.png
44294,dog,44294.png
49496,dog,49496.png
41023,dog,41023.png
37645,cat,37645.png
10704,dog,10704.png
42355,cat,42355.png
12826,dog,12826.png
37502,dog,37502.png
9344,cat,9344.png
32135,cat,32135.png
29461,cat,29461.png
30114,cat,30114.png
47673,dog,47673.png
44586,cat,44586.png
42352,cat,42352.png
29567,dog,29567.png
49771,cat,49771.png
22506,cat,22506.png
24149,cat,24149.png
22012,cat,22012.png
45897,cat,45897.png
21469,cat,21469.png
15592,dog,15592.png
33965,cat,33965.png
1781,dog,1781.png
3111,cat,3111.png
7066,cat,7066.png
28443,dog,28443.png
47068,cat,47068.png
733,dog,733.png
3967,dog,3967.png
31583,dog,31583.png
43341,dog,43341.png
20398,cat,20398.png
14467,cat,14467.png
48410,cat,48410.png
1462,cat,1462.png
18732,dog,18732.png
24155,cat,24155.png
46233,cat,46233.png
3558,dog,3558.png
741,cat,741.png
48078,dog,48078.png
18874,dog,18874.png
